
Iter:0 train_rmse:5.684 test_loss:282.1 test_rmse:0.09868 test_acc:0.5738
Iter:1 train_rmse:5.185 test_loss:238.7 test_rmse:0.09077 test_acc:0.608
Iter:2 train_rmse:5.069 test_loss:230.0 test_rmse:0.08908 test_acc:0.6153
Iter:3 train_rmse:4.977 test_loss:223.1 test_rmse:0.08774 test_acc:0.6211
Iter:4 train_rmse:4.901 test_loss:217.2 test_rmse:0.08657 test_acc:0.6262
Iter:5 train_rmse:4.833 test_loss:212.0 test_rmse:0.08552 test_acc:0.6307
Iter:6 train_rmse:4.774 test_loss:207.3 test_rmse:0.08457 test_acc:0.6348
Iter:7 train_rmse:4.721 test_loss:203.0 test_rmse:0.08368 test_acc:0.6386
Iter:8 train_rmse:4.675 test_loss:199.1 test_rmse:0.08288 test_acc:0.6421
Iter:9 train_rmse:4.632 test_loss:195.5 test_rmse:0.08213 test_acc:0.6453
Iter:10 train_rmse:4.589 test_loss:192.5 test_rmse:0.08149 test_acc:0.6481
Iter:11 train_rmse:4.553 test_loss:189.6 test_rmse:0.08088 test_acc:0.6507
Iter:12 train_rmse:4.521 test_loss:187.3 test_rmse:0.08037 test_acc:0.6529
Iter:13 train_rmse:4.492 test_loss:185.2 test_rmse:0.07992 test_acc:0.6549
Iter:14 train_rmse:4.465 test_loss:183.2 test_rmse:0.07949 test_acc:0.6567
Iter:15 train_rmse:4.44 test_loss:181.4 test_rmse:0.07911 test_acc:0.6584
Iter:16 train_rmse:4.418 test_loss:180.0 test_rmse:0.07878 test_acc:0.6598
Iter:17 train_rmse:4.397 test_loss:178.6 test_rmse:0.07849 test_acc:0.661
Iter:18 train_rmse:4.378 test_loss:176.9 test_rmse:0.07811 test_acc:0.6627
Iter:19 train_rmse:4.357 test_loss:175.5 test_rmse:0.0778 test_acc:0.664
Iter:20 train_rmse:4.339 test_loss:174.3 test_rmse:0.07753 test_acc:0.6652
Iter:21 train_rmse:4.321 test_loss:173.4 test_rmse:0.07733 test_acc:0.666
Iter:22 train_rmse:4.309 test_loss:171.8 test_rmse:0.07698 test_acc:0.6676
Iter:23 train_rmse:4.292 test_loss:170.5 test_rmse:0.07669 test_acc:0.6688
Iter:24 train_rmse:4.271 test_loss:169.6 test_rmse:0.07649 test_acc:0.6697
Iter:25 train_rmse:4.254 test_loss:168.4 test_rmse:0.07621 test_acc:0.6709
Iter:26 train_rmse:4.239 test_loss:167.1 test_rmse:0.07592 test_acc:0.6721
Iter:27 train_rmse:4.224 test_loss:166.1 test_rmse:0.07568 test_acc:0.6732
Iter:28 train_rmse:4.211 test_loss:165.4 test_rmse:0.07552 test_acc:0.6739
Iter:29 train_rmse:4.198 test_loss:164.9 test_rmse:0.0754 test_acc:0.6744
Iter:30 train_rmse:4.185 test_loss:164.2 test_rmse:0.07525 test_acc:0.675
Iter:31 train_rmse:4.173 test_loss:163.5 test_rmse:0.07508 test_acc:0.6757
Iter:32 train_rmse:4.162 test_loss:162.8 test_rmse:0.07492 test_acc:0.6764
Iter:33 train_rmse:4.151 test_loss:162.1 test_rmse:0.07476 test_acc:0.6771
Iter:34 train_rmse:4.141 test_loss:161.4 test_rmse:0.07461 test_acc:0.6778
Iter:35 train_rmse:4.132 test_loss:160.8 test_rmse:0.07446 test_acc:0.6784
Iter:36 train_rmse:4.123 test_loss:160.2 test_rmse:0.07431 test_acc:0.6791
Iter:37 train_rmse:4.114 test_loss:159.5 test_rmse:0.07417 test_acc:0.6797
Iter:38 train_rmse:4.105 test_loss:158.9 test_rmse:0.07403 test_acc:0.6803
Iter:39 train_rmse:4.097 test_loss:158.4 test_rmse:0.07389 test_acc:0.6809
Iter:40 train_rmse:4.09 test_loss:157.8 test_rmse:0.07376 test_acc:0.6815
Iter:41 train_rmse:4.082 test_loss:157.2 test_rmse:0.07363 test_acc:0.682
Iter:42 train_rmse:4.074 test_loss:156.7 test_rmse:0.0735 test_acc:0.6826
Iter:43 train_rmse:4.067 test_loss:156.2 test_rmse:0.07338 test_acc:0.6831
Iter:44 train_rmse:4.06 test_loss:155.7 test_rmse:0.07326 test_acc:0.6836
Iter:45 train_rmse:4.053 test_loss:155.2 test_rmse:0.07315 test_acc:0.6841
Iter:46 train_rmse:4.046 test_loss:154.7 test_rmse:0.07304 test_acc:0.6846
Iter:47 train_rmse:4.039 test_loss:154.3 test_rmse:0.07293 test_acc:0.685
Iter:48 train_rmse:4.032 test_loss:153.9 test_rmse:0.07283 test_acc:0.6855
Iter:49 train_rmse:4.026 test_loss:153.4 test_rmse:0.07273 test_acc:0.6859
Iter:50 train_rmse:4.02 test_loss:153.0 test_rmse:0.07263 test_acc:0.6863
Iter:51 train_rmse:4.014 test_loss:152.6 test_rmse:0.07254 test_acc:0.6867
Iter:52 train_rmse:4.008 test_loss:152.2 test_rmse:0.07245 test_acc:0.6871
Iter:53 train_rmse:4.002 test_loss:151.9 test_rmse:0.07236 test_acc:0.6875
Iter:54 train_rmse:3.997 test_loss:151.5 test_rmse:0.07227 test_acc:0.6879
Iter:55 train_rmse:3.992 test_loss:151.1 test_rmse:0.07218 test_acc:0.6883
Iter:56 train_rmse:3.987 test_loss:150.8 test_rmse:0.0721 test_acc:0.6887
Iter:57 train_rmse:3.982 test_loss:150.4 test_rmse:0.07201 test_acc:0.689
Iter:58 train_rmse:3.977 test_loss:150.1 test_rmse:0.07193 test_acc:0.6894
Iter:59 train_rmse:3.972 test_loss:149.8 test_rmse:0.07185 test_acc:0.6897
Iter:60 train_rmse:3.968 test_loss:149.4 test_rmse:0.07178 test_acc:0.69
Iter:61 train_rmse:3.963 test_loss:149.1 test_rmse:0.0717 test_acc:0.6904
Iter:62 train_rmse:3.959 test_loss:148.8 test_rmse:0.07163 test_acc:0.6907
Iter:63 train_rmse:3.955 test_loss:148.5 test_rmse:0.07155 test_acc:0.691
Iter:64 train_rmse:3.951 test_loss:148.2 test_rmse:0.07148 test_acc:0.6913
Iter:65 train_rmse:3.947 test_loss:148.0 test_rmse:0.07142 test_acc:0.6916
Iter:66 train_rmse:3.943 test_loss:147.7 test_rmse:0.07135 test_acc:0.6919
Iter:67 train_rmse:3.94 test_loss:147.4 test_rmse:0.07128 test_acc:0.6922
