Iter:0 train_rmse:6.178 test_loss:359.6 test_rmse:0.1114 test_acc:0.5188
Iter:1 train_rmse:5.756 test_loss:311.0 test_rmse:0.1036 test_acc:0.5525
Iter:2 train_rmse:5.597 test_loss:295.1 test_rmse:0.1009 test_acc:0.5641
Iter:3 train_rmse:5.491 test_loss:284.1 test_rmse:0.09904 test_acc:0.5723
Iter:4 train_rmse:5.409 test_loss:275.7 test_rmse:0.09755 test_acc:0.5787
Iter:5 train_rmse:5.344 test_loss:268.8 test_rmse:0.09632 test_acc:0.584
Iter:6 train_rmse:5.289 test_loss:263.1 test_rmse:0.0953 test_acc:0.5884
Iter:7 train_rmse:5.244 test_loss:258.4 test_rmse:0.09445 test_acc:0.5921
Iter:8 train_rmse:5.206 test_loss:254.5 test_rmse:0.09372 test_acc:0.5953
Iter:9 train_rmse:5.174 test_loss:251.2 test_rmse:0.0931 test_acc:0.5979
Iter:10 train_rmse:5.144 test_loss:248.3 test_rmse:0.09256 test_acc:0.6003
Iter:11 train_rmse:5.118 test_loss:245.6 test_rmse:0.09207 test_acc:0.6024
Iter:12 train_rmse:5.093 test_loss:243.1 test_rmse:0.0916 test_acc:0.6044
Iter:13 train_rmse:5.07 test_loss:240.9 test_rmse:0.09117 test_acc:0.6063
Iter:14 train_rmse:5.048 test_loss:238.7 test_rmse:0.09077 test_acc:0.608
Iter:15 train_rmse:5.026 test_loss:236.7 test_rmse:0.09038 test_acc:0.6097
Iter:16 train_rmse:5.007 test_loss:234.8 test_rmse:0.09001 test_acc:0.6113
Iter:17 train_rmse:4.988 test_loss:232.9 test_rmse:0.08965 test_acc:0.6129
Iter:18 train_rmse:4.968 test_loss:231.0 test_rmse:0.08928 test_acc:0.6145
Iter:19 train_rmse:4.948 test_loss:229.1 test_rmse:0.08892 test_acc:0.616
Iter:20 train_rmse:4.927 test_loss:227.3 test_rmse:0.08856 test_acc:0.6175
Iter:21 train_rmse:4.909 test_loss:225.3 test_rmse:0.08818 test_acc:0.6192
Iter:22 train_rmse:4.883 test_loss:223.2 test_rmse:0.08775 test_acc:0.621
Iter:23 train_rmse:4.861 test_loss:221.0 test_rmse:0.08733 test_acc:0.6229
